47; 2,105; 65,0
57; 3,996; 71,0
58; 3,523; 69,0
60; 4,365; 67,0
64; 6,113; 75,0
74; 4,813; 55,0
77; 4,658; 58,0
3; 1,904; 52,0
71; 3,991; 64,0
18; 2,433; 72,0
35; 2,37; 56,0
40; 2,435; 58,0
98; 2,745; 0,0
74; 4,717; 67,0
1; 2,552; 54,0
6; 2,683; 54,0
15; 3,378; 57,0
25; 3,529; 45,0
26; 3,033; 50,0
41; 2,842; 54,0
71; 3,192; 49,0
76; 4,307; 56,0
3; 2,208; 74,0
76; 2,686; 49,0
70; 2,035; 44,0
73; 2,436; 50,0
76; 2,231; 42,0
78; 2,978; 56,0
3; 2,393; 52,0
70; 2,111; 27,0
73; 2,617; 50,0
76; 2,533; 40,0
78; 2,777; 64,0
97; 4,947; 61,0
73; 3,655; 49,0
76; 3,753; 31,0
67; 5,135; 78,0
71; 3,179; 45,0
74; 3,892; 49,0
77; 3,378; 50,0
92; 4,811; 62,0
94; 5,703; 56,0
64; 4,275; 74,0
67; 4,578; 77,0
71; 2,377; 56,0
74; 3,523; 46,0
3; 3,352; 68,0
10; 3,247; 69,0
34; 3,986; 78,0
70; 1,66; 34,0
73; 2,28; 42,0
76; 3,259; 49,0
85; 6,198; 74,0
86; 4,541; 45,0
97; 5,526; 61,0
94; 5,453; 57,0
62; 5,312; 66,0
64; 4,815; 78,0
71; 3,698; 43,0
74; 3,736; 48,0
77; 3,35; 62,0
92; 5,788; 62,0
1; 2,623; 85,0
38; 3,5; 71,0
26; 4,094; 64,0
37; 4,448; 65,0
67; 4,831; 77,0
84; 5,395; 64,0
92; 5,594; 56,0
94; 5,537; 52,0
3; 1,736; 69,0
10; 2,488; 75,0
52; 5,078; 71,0
54; 4,716; 73,0
70; 3,482; 40,0
73; 4,038; 42,0
86; 5,534; 43,0
94; 6,367; 66,0
1; 2,227; 56,0
6; 2,38; 56,0
63; 4,292; 64,0
78; 3,878; 56,0
3; 2,555; 48,0
73; 4,485; 53,0
85; 4,96; 79,0
86; 5,114; 53,0
97; 5,557; 63,0
3; 1,816; 41,0
25; 3,012; 51,0
26; 2,692; 51,0
37; 2,963; 64,0
38; 3,161; 62,0
41; 2,717; 57,0
47; 2,906; 59,0
85; 5,934; 77,0
62; 5,502; 75,0
64; 4,571; 78,0
67; 5,529; 70,0
84; 5,566; 66,0
94; 5,429; 61,0
1; 3,342; 60,0
6; 3,89; 66,0
85; 4,338; 78,0
97; 5,644; 58,0
34; 4,487; 92,0
85; 4,316; 77,0
63; 5,543; 75,0
71; 4,257; 59,0
77; 3,29; 73,0
62; 5,02; 68,0
67; 5,485; 77,0
71; 4,041; 51,0
92; 5,749; 62,0
94; 5,863; 59,0
60; 4,375; 70,0
64; 5,244; 74,0
71; 4,556; 53,0
63; 4,393; 72,0
73; 4,108; 49,0
47; 5,225; 51,0
62; 4,655; 74,0
64; 5,05; 74,0
