cat,elev,x,y
182,1159,601816.701196,4925011.770447
183,1409,607597.534137,4915522.684243
184,1436,606628.163029,4916789.813373
185,1619,601442.863756,4916420.415064
186,1394,603415.725314,4915349.534502
187,1677,593090.700178,4917537.867758
188,1201,598034.131702,4924526.95952
189,1386,604121.003535,4919359.482276
190,1199,591119.651213,4923259.979617
191,1106,590477.032227,4926588.491101
192,1657,596884.125871,4915191.930262
193,1195,604140.992769,4922037.169398
194,1215,604535.373911,4921102.187885
195,1453,597579.007238,4920351.946946
196,1188,592609.456027,4925278.381395
197,1356,608563.09931,4917394.51932
198,1643,597766.081306,4915374.099232
199,1161,602374.957391,4924036.243507
200,1190,603398.204542,4924460.592963
201,1378,592133.594688,4922254.926836
202,1221,593011.822563,4924168.718149
203,1566,593035.366991,4919882.946781
204,1618,599931.965741,4915384.599259
205,1396,593782.966538,4919878.778034
206,1200,594595.067749,4924878.610698
207,1385,602958.967042,4919564.005961
208,1363,592658.08492,4922044.35818
209,1698,590578.918451,4915357.295704
210,1316,607469.734637,4922009.046801
211,1174,598582.337764,4927212.886493
212,1223,601844.888318,4922010.878868
213,1117,605485.347906,4927557.580024
214,1401,596306.07052,4921484.609378
215,1179,595995.213968,4927488.890713
216,1205,603668.126443,4922030.482089
217,1663,598508.204918,4915735.3298
218,1373,603323.103538,4919516.612143
219,1185,598705.90327,4924874.877908
220,1515,599679.942452,4918820.705632
221,1481,605286.686251,4917505.790272
222,1288,606718.8686,4921200.925064
223,1174,596734.20383,4927729.857289
224,1266,607335.613104,4922630.971591
225,1418,607550.412359,4916371.829309
226,1214,605441.047988,4922756.395644
227,1312,606874.538415,4921907.44658
228,1452,605268.187206,4918172.121603
229,1214,598886.90593,4926112.252613
230,1655,593220.191608,4917058.850123
231,1733,593268.532788,4915581.933315
232,1437,593990.928562,4919344.960861
233,1441,604548.267056,4915268.532444
234,1210,594300.309631,4924875.539696
235,1658,592559.101389,4917722.7844
236,1413,606723.040153,4914877.066281
237,1487,599235.262293,4917375.561645
238,1557,598081.440932,4916258.370905
239,1221,604808.862272,4923283.274596
240,1583,594262.588413,4918172.571921
241,1172,593222.401778,4927489.360887
242,1126,591492.024745,4927199.8197
243,1682,598979.572698,4915676.242071
244,1430,604446.826523,4914861.834052
245,1630,590324.469667,4915008.672276
246,1295,603728.598535,4925369.637996
247,1453,605535.336183,4914970.016386
248,1283,605339.740178,4919847.868705
249,1133,606013.559207,4927536.171862
250,1552,605327.773575,4914341.959183
251,1406,604600.301901,4918399.653717
252,1168,607398.448243,4924447.530941
253,1232,598492.72248,4923237.016816
254,1176,591795.030325,4924840.634297
255,1177,602886.94322,4923555.244342
256,1356,607650.859374,4916155.395303
257,1195,596741.255138,4927902.173777
258,1389,607186.28521,4916441.412676
259,1297,606883.096078,4918707.156298
260,1434,604567.306483,4915346.910519
261,1273,601290.129856,4921163.93091
262,1383,591780.568209,4922246.434164
263,1617,598005.432107,4915411.147374
264,1095,608899.069287,4924312.496126
265,1417,607740.358214,4916797.711258
266,1642,594581.651909,4918186.275492
267,1237,599277.65659,4925813.480779
268,1393,608166.224317,4914932.58033
269,1246,599449.989327,4927299.708279
270,1163,593061.963822,4925550.789
271,1174,596998.873379,4926746.420838
272,1618,590436.277546,4917899.55783
273,1771,591845.707314,4915041.399298
274,1480,600440.956372,4914227.010451
275,1174,601245.67448,4923584.217235
276,1153,606916.369145,4925404.384169
277,1564,605294.167872,4914250.469493
278,1161,601351.270384,4924842.095434
279,1202,606797.245759,4919725.12119
280,1682,599308.591292,4916568.936096
281,1622,597477.182533,4917789.046863
282,1623,599878.264079,4915680.197416
283,1265,606850.343362,4921349.018021
284,1211,605505.218211,4922633.025231
285,1543,599995.743038,4914345.992373
286,1518,600627.265227,4915503.678902
287,1656,591270.005229,4919869.998521
288,1148,601714.744953,4925721.007821
289,1207,599666.105538,4925684.20724
290,1250,592824.515944,4926599.953415
291,1206,599153.964179,4927461.939255
292,1228,595437.584364,4923996.572613
293,1626,590427.822453,4915655.155898
294,1614,599737.73203,4915334.025607
295,,599029.194428,4927973.259608
296,1401,603752.672194,4915863.109529
297,1227,603916.566542,4924598.173297
298,1394,604241.216102,4919344.834106
299,1319,603665.424669,4920096.084698
300,1260,590067.242574,4924575.917612
